Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Cafe,Vegetarian / Vegan Restaurant,Eastern European Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant,Fast Food Restaurant,Falafel Restaurant
1,Asian Restaurant,Fast Food Restaurant,Mexican Restaurant,Cafe,American Restaurant,Indian Restaurant,Restaurant,Seafood Restaurant,Latin American Restaurant,Cajun / Creole Restaurant
2,Fast Food Restaurant,Mexican Restaurant,Cafe,Pakistani Restaurant,American Restaurant,Indian Restaurant,Australian Restaurant,Restaurant,Eastern European Restaurant,French Restaurant
3,Food,Vegetarian / Vegan Restaurant,Halal Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Fondue Restaurant,Fast Food Restaurant,Falafel Restaurant,Eastern European Restaurant
4,Mexican Restaurant,Italian Restaurant,Asian Restaurant,Food,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Eastern European Restaurant,German Restaurant,French Restaurant,Fondue Restaurant
5,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Spanish Restaurant,Cafe,Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,German Restaurant,French Restaurant
6,Indian Restaurant,Fast Food Restaurant,Middle Eastern Restaurant,Asian Restaurant,Cajun / Creole Restaurant,Restaurant,Pub,Vegetarian / Vegan Restaurant,French Restaurant,Food
7,Asian Restaurant,Fast Food Restaurant,Cajun / Creole Restaurant,Food,Cafe,American Restaurant,Seafood Restaurant,Restaurant,Dumpling Restaurant,Vegetarian / Vegan Restaurant
8,Cajun / Creole Restaurant,Asian Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Eastern European Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant
9,Fast Food Restaurant,Asian Restaurant,Mexican Restaurant,Cafe,American Restaurant,Restaurant,Latin American Restaurant,Indian Restaurant,Seafood Restaurant,Italian Restaurant
10,Italian Restaurant,Restaurant,American Restaurant,Indian Restaurant,Fast Food Restaurant,African Restaurant,Cafe,Vegetarian / Vegan Restaurant,Falafel Restaurant,German Restaurant
11,Restaurant,Indian Restaurant,American Restaurant,Vegetarian / Vegan Restaurant,Eastern European Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant,Fast Food Restaurant
12,Cafe,Fast Food Restaurant,Restaurant,Food,Caribbean Restaurant,Asian Restaurant,Italian Restaurant,Mexican Restaurant,Seafood Restaurant,American Restaurant
13,Caribbean Restaurant,Vegetarian / Vegan Restaurant,Eastern European Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant,Fast Food Restaurant,Falafel Restaurant
14,Mexican Restaurant,Fast Food Restaurant,Asian Restaurant,Cafe,American Restaurant,Indian Restaurant,Italian Restaurant,Latin American Restaurant,Seafood Restaurant,Restaurant
15,Middle Eastern Restaurant,Vegetarian / Vegan Restaurant,Eastern European Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant,Fast Food Restaurant,Falafel Restaurant
16,Food,Fast Food Restaurant,Mexican Restaurant,Seafood Restaurant,American Restaurant,Indian Restaurant,Asian Restaurant,Latin American Restaurant,Southern / Soul Food Restaurant,Fondue Restaurant
17,Latin American Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Eastern European Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant,Falafel Restaurant
18,Seafood Restaurant,Vegetarian / Vegan Restaurant,Dumpling Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant,Fast Food Restaurant,Falafel Restaurant
19,Mediterranean Restaurant,Afghan Restaurant,Eastern European Restaurant,Gluten-free Restaurant,German Restaurant,French Restaurant,Food,Fondue Restaurant,Fast Food Restaurant,Falafel Restaurant
